"Location","NPA",""
"ONTARIO CANADA","249",""
"ONTARIO CANADA","807",""
"ONTARIO CANADA","753",""
"ONTARIO CANADA","742",""
"ONTARIO CANADA","613",""
"ONTARIO CANADA","705",""
"ONTARIO CANADA","519",""
"ONTARIO CANADA","382",""
"ONTARIO CANADA","647",""
"ONTARIO CANADA","416",""
"ONTARIO CANADA","226",""
"ONTARIO CANADA","365",""
"ONTARIO CANADA","437",""
"ONTARIO CANADA","343",""
"Oregon","971",""
"Oregon","541",""
"Oregon","458",""
"Oregon","503",""
"Pennsylvania","610",""
"Pennsylvania","582",""
"Pennsylvania","445",""
"Pennsylvania","215",""
"Pennsylvania","223",""
"Pennsylvania","717",""
"Pennsylvania","724",""
"Pennsylvania","412",""
"Pennsylvania","570",""
"Pennsylvania","814",""
"Pennsylvania","835",""
"Pennsylvania","878",""
"Pennsylvania","267",""
"Pennsylvania","272",""
"Pennsylvania","484",""
"Puerto Rico","939",""
"Puerto Rico","787",""
"QUEBEC CANADA","418",""
"QUEBEC CANADA","438",""
"QUEBEC CANADA","450",""
"QUEBEC CANADA","468",""
"QUEBEC CANADA","819",""
"QUEBEC CANADA","581",""
"QUEBEC CANADA","263",""
"QUEBEC CANADA","354",""
"QUEBEC CANADA","367",""
"QUEBEC CANADA","514",""
"QUEBEC CANADA","579",""
"QUEBEC CANADA","873",""
"Rhode Island","401",""
"SASKATCHEWAN CANADA","474",""
"SASKATCHEWAN CANADA","639",""
"SASKATCHEWAN CANADA","306",""
"South Carolina","864",""
"South Carolina","839",""
"South Carolina","803",""
"South Carolina","854",""
"South Carolina","843",""
"South Dakota","605",""
"SINT MAARTEN (Island in Netherlands Territory","721",""
"ST. KITTS & NEVIS","869",""
"ST. LUCIA","758",""
"ST. VINCENT & GRENADINES","784",""
"Tennessee","615",""
"Tennessee","629",""
"Tennessee","931",""
"Tennessee","901",""
"Tennessee","865",""
"Tennessee","731",""
"Tennessee","423",""
"TRINIDAD & TOBAGO","868",""
"TURKS & CAICOS ISLANDS","649",""
"Texas","254",""
"Texas","682",""
"Texas","713",""
"Texas","726",""
"Texas","512",""
"Texas","737",""
"Texas","806",""
"Texas","817",""
"Texas","832",""
"Texas","409",""
"Texas","830",""
"Texas","903",""
"Texas","915",""
"Texas","945",""
"Texas","956",""
"Texas","972",""
"Texas","979",""
"Texas","936",""
"Texas","281",""
"Texas","325",""
"Texas","346",""
"Texas","469",""
"Texas","432",""
"Texas","430",""
"Texas","361",""
"Texas","940",""
"Texas","210",""
"Texas","214",""
"USVI","340",""
"Utah","385",""
"Utah","435",""
"Utah","801",""
"Virginia","434",""
"Virginia","703",""
"Virginia","757",""
"Virginia","826",""
"Virginia","571",""
"Virginia","948",""
"Virginia","276",""
"Virginia","540",""
"Virginia","804",""
"Vermont","802",""
"Washington ","253",""
"Washington ","360",""
"Washington ","509",""
"Washington ","564",""
"Washington ","206",""
"Washington ","425",""
